gene,png,n_tx
ARPC5,ARPC5.png,1
ARPC5L,ARPC5L.png,4
ARPIN,ARPIN.png,2
ARPIN-AP3S2,ARPIN-AP3S2.png,3
ARPP19,ARPP19.png,29
ARRB1,ARRB1.png,3
ARRB1_ENSG00000279117,ARRB1_ENSG00000279117.png,1
ARRB2,ARRB2.png,4
ARRDC1,ARRDC1.png,2
ARRDC1-AS1,ARRDC1-AS1.png,1
ARRDC2,ARRDC2.png,2
ARRDC3,ARRDC3.png,5
ARRDC3-AS1,ARRDC3-AS1.png,2
ARRDC4,ARRDC4.png,3
ARSA,ARSA.png,7
ARSB,ARSB.png,3
ARSD,ARSD.png,2
ARSG,ARSG.png,5
ARSK,ARSK.png,2
ART3,ART3.png,6
ART4,ART4.png,2
ARV1,ARV1.png,1
ARVCF,ARVCF.png,7
AS3MT,AS3MT.png,6
ASAH1,ASAH1.png,24
ASAH1-AS1,ASAH1-AS1.png,1
ASAH2B,ASAH2B.png,10
ASAP1,ASAP1.png,3
ASAP2,ASAP2.png,2
ASAP3,ASAP3.png,3
ASB1,ASB1.png,7
ASB10,ASB10.png,2
ASB11,ASB11.png,7
ASB11_ENSG00000288980,ASB11_ENSG00000288980.png,1
ASB13,ASB13.png,2
ASB14,ASB14.png,6
ASB15,ASB15.png,28
ASB15-AS1_NDUFA5,ASB15-AS1_NDUFA5.png,1
ASB16,ASB16.png,3
ASB16-AS1,ASB16-AS1.png,1
ASB18,ASB18.png,8
ASB2,ASB2.png,13
ASB3,ASB3.png,3
ASB4,ASB4.png,2
ASB5,ASB5.png,2
ASB6,ASB6.png,2
ASB7,ASB7.png,4
ASB8,ASB8.png,7
ASCC1,ASCC1.png,7
ASCC2,ASCC2.png,10
ASCC3,ASCC3.png,4
ASDURF,ASDURF.png,1
ASF1A,ASF1A.png,1
ASH1L,ASH1L.png,16
ASH2L,ASH2L.png,4
ASIP,ASIP.png,1
ASL,ASL.png,3
ASMTL,ASMTL.png,1
ASNS,ASNS.png,1
ASNSD1,ASNSD1.png,8
ASPA,ASPA.png,1
ASPG,ASPG.png,4
ASPH,ASPH.png,72
ASPN,ASPN.png,1
ASPSCR1,ASPSCR1.png,1
ASRGL1,ASRGL1.png,1
ASS1,ASS1.png,1
ASTE1,ASTE1.png,2
ASTN1,ASTN1.png,1
ASTN2,ASTN2.png,2
ASXL1,ASXL1.png,2
ASXL2,ASXL2.png,2
ASXL3,ASXL3.png,1
ATAD1,ATAD1.png,21
ATAD2,ATAD2.png,8
ATAD2B,ATAD2B.png,2
ATAD3A,ATAD3A.png,2
ATAT1,ATAT1.png,3
ATE1,ATE1.png,22
ATF1,ATF1.png,5
ATF2,ATF2.png,10
ATF2_CHN1,ATF2_CHN1.png,2
ATF3,ATF3.png,3
ATF4,ATF4.png,1
ATF5,ATF5.png,1
ATF6,ATF6.png,8
ATF6B,ATF6B.png,4
ATF7,ATF7.png,6
ATF7IP,ATF7IP.png,17
ATF7IP2,ATF7IP2.png,11
ATG10,ATG10.png,2
ATG101,ATG101.png,1
ATG12,ATG12.png,8
ATG13,ATG13.png,26
ATG14,ATG14.png,2
ATG16L1,ATG16L1.png,2
ATG16L2,ATG16L2.png,2
ATG2A,ATG2A.png,5
ATG2B,ATG2B.png,5
ATG3,ATG3.png,3
ATG4A,ATG4A.png,6
ATG4B,ATG4B.png,6
ATG4C,ATG4C.png,8
ATG4D,ATG4D.png,6
ATG5,ATG5.png,9
ATG7,ATG7.png,6
ATG9A,ATG9A.png,13
ATIC,ATIC.png,3
ATL2,ATL2.png,7
ATL3,ATL3.png,3
ATM,ATM.png,1
ATMIN,ATMIN.png,4
ATN1,ATN1.png,3
ATOH8,ATOH8.png,4
ATOSA,ATOSA.png,7
ATOSB,ATOSB.png,5
ATOX1,ATOX1.png,1
ATP10D,ATP10D.png,2
ATP11A,ATP11A.png,7
ATP11B,ATP11B.png,10
ATP11C,ATP11C.png,1
ATP13A1,ATP13A1.png,4
ATP13A2,ATP13A2.png,4
ATP13A3,ATP13A3.png,5
ATP1A1,ATP1A1.png,5
ATP1A1-AS1,ATP1A1-AS1.png,1
ATP1A2,ATP1A2.png,7
ATP1A3,ATP1A3.png,17
ATP1B1,ATP1B1.png,8
ATP1B2,ATP1B2.png,2
ATP1B3,ATP1B3.png,4
ATP1B4,ATP1B4.png,3
ATP2A2,ATP2A2.png,49
ATP2A3,ATP2A3.png,1
ATP2B1,ATP2B1.png,2
ATP2B4,ATP2B4.png,13
ATP2C1,ATP2C1.png,22
ATP5F1A,ATP5F1A.png,4
ATP5F1B,ATP5F1B.png,13
ATP5F1C,ATP5F1C.png,6
ATP5F1D,ATP5F1D.png,2
ATP5F1E,ATP5F1E.png,2
ATP5IF1,ATP5IF1.png,2
ATP5MC1,ATP5MC1.png,1
ATP5MC2,ATP5MC2.png,1
ATP5MC3,ATP5MC3.png,3
ATP5MC3_Y_RNA,ATP5MC3_Y_RNA.png,1
ATP5ME,ATP5ME.png,1
ATP5MF,ATP5MF.png,1
ATP5MG,ATP5MG.png,2
ATP5MJ,ATP5MJ.png,2
ATP5MK,ATP5MK.png,2
ATP5PB,ATP5PB.png,21
ATP5PD,ATP5PD.png,2
ATP5PF,ATP5PF.png,2
ATP5PO,ATP5PO.png,2
ATP6AP1,ATP6AP1.png,1
ATP6AP1L,ATP6AP1L.png,3
ATP6AP2,ATP6AP2.png,4
ATP6V0A1,ATP6V0A1.png,4
